no,trades,mean,variance,standard_deviation
0,0,0,0,0
1,1,3079.65,1.05718e+07,3251.44
2,2,2588.87,5.80206e+06,2408.75
3,3,3729.28,3.00936e+06,1734.75
4,4,3402.62,1.64469e+06,1282.45
5,5,4321.65,5.02519e+06,2241.69
6,6,4167.69,4.0208e+06,2005.19
7,7,6615.38,3.31949e+06,1821.95
8,8,5902.62,1.64469e+06,1282.45
9,9,6821.65,5.02519e+06,2241.69
10,10,6667.69,4.0208e+06,2005.19
11,11,9115.38,3.31949e+06,1821.95
12,12,8402.62,1.64469e+06,1282.45
13,13,8251.23,1.21547e+06,1102.48
14,14,9477.57,8.22618e+06,2868.13
15,15,8986.78,4.09077e+06,2022.57
16,16,9905.82,1.0672e+07,3266.8
17,17,9751.85,8.69223e+06,2948.26
18,18,12199.5,3.85964e+06,1964.6
19,19,11486.8,4.09077e+06,2022.57
20,20,12405.8,1.0672e+07,3266.8
21,21,12251.9,8.69223e+06,2948.26
22,22,14699.5,3.85964e+06,1964.6
23,23,13986.8,4.09077e+06,2022.57
24,24,15127.2,4.81189e+06,2193.6
25,25,14800.5,4.10542e+06,2026.18
